Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47860.2,16.35545455,0.1,118.9608842,724.6377672,-0.21833519399999998,16.44636364,0.1,142.1199232,688.6262606,-0.18109101100000002,16.98636364,0.1,167.0051333,651.8555915000001,-0.147867941,16.78272727,0.1,194.2090887,611.0185212,-0.116813044,17.17909091,0.1,211.78278109999997,584.9175098,-0.08972578699999999
47860.3,16.35444444,0.1,118.0575879,726.0015764999999,-0.219457197,16.43888889,0.1,141.2054534,689.9905478999999,-0.18235293800000002,16.95,0.1,166.0589564,653.2645789,-0.149179494,16.78222222,0.1,193.28203019999998,612.4180418999999,-0.118045993,17.17333333,0.1,210.8287668,586.3455435,-0.090987808
47860.4,16.35,0.1,117.15572820000001,727.3656672000001,-0.220540011,16.45,0.1,140.2906178,691.3545542,-0.18360343399999998,16.91545455,0.1,165.1154961,654.6710467,-0.15047756,16.78090909,0.1,192.35559130000001,613.8176641,-0.119315201,17.16818182,0.1,209.87545,587.7737462,-0.09223552
47860.5,16.34555556,0.1,116.25446399999998,728.7299382,-0.22161428600000002,16.45111111,0.1,139.37572859999997,692.7200119,-0.18492591100000003,16.87888889,0.1,164.1748004,656.0753323,-0.151754061,16.78666667,0.1,191.4291649,615.217894,-0.12060218699999999,17.16111111,0.1,208.9226688,589.2015666,-0.093499894
47860.6,16.34090909,0.1,115.35446809999999,730.0941756,-0.222676832,16.44,0.1,138.46185549999998,694.0860887,-0.186213113,16.85272727,0.1,163.2366771,657.4780995,-0.153040791,16.78727273,0.1,190.5028534,616.6185291,-0.121898649,17.15454545,0.1,207.97028480000003,590.6289711000001,-0.09477881
47860.7,16.33888889,0.1,114.4558368,731.4584246000001,-0.22373629899999997,16.44,0.1,137.5491126,695.4515805999999,-0.187477604,16.84,0.1,162.30036299999998,658.8789095,-0.154335743,16.79,0.1,189.5763682,618.0191082,-0.12319712599999999,17.15,0.1,207.01815990000003,592.0552395,-0.09605244800000001
47860.8,16.33272727,0.1,113.55704979999999,732.8229887,-0.22481860399999998,16.43909091,0.1,136.63655649999998,696.8178266,-0.18879284600000001,16.83909091,0.1,161.3644041,660.2794835,-0.155608559,16.79,0.1,188.650118,619.4199012,-0.124507711,17.14,0.1,206.067015,593.481767,-0.097317435
47860.9,16.33111111,0.1,112.65793899999998,734.1871593,-0.225904629,16.43,0.1,135.7246139,698.1836452,-0.190104776,16.84,0.1,160.4284398,661.6797653,-0.15691511,16.79222222,0.1,187.72410280000003,620.8211895,-0.125788115,17.13666667,0.1,205.1162975,594.9073047999999,-0.09861259800000001
47861.0,16.32545455,0.1,111.75974199999999,735.5512964,-0.226965165,16.42181818,0.1,134.813423,699.5489579,-0.191401221,16.84454545,0.1,159.4917551,663.0801597,-0.158214517,16.79181818,0.1,186.79819630000003,622.2228943,-0.126998135,17.13,0.1,204.1656948,596.3326402,-0.09992442300000001
47861.1,16.31888889,0.1,110.86301770000001,736.9157712,-0.228012611,16.41222222,0.1,133.9040172,700.9143496,-0.192694787,16.85222222,0.1,158.5541399,664.4796318,-0.159509665,16.79,0.1,185.8720382,623.624138,-0.12821612400000001,17.12666667,0.1,203.21516499999998,597.7572672,-0.10128107300000001
